Sat Jan  3 19:56:33 CET 2026: ┌─ Starting cache check...
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 521.10MB / 850.00MB - /Users/kasperissim0/Library/Caches
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 5.03MB / 400.00MB - /Users/kasperissim0/Library/Application Support/obsidian/Code Cache
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 144.00KB / 400.00MB - /Users/kasperissim0/Library/Application Support/obsidian/Cache
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 86.55MB / 300.00MB - /Users/kasperissim0/Library/Containers/com.apple.mediaanalysisd/Data/Library/Caches
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 420.00KB / 300.00MB - /Users/kasperissim0/Library/Application Support/Code/Cache/Cache_Data
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 169.71MB / 200.00MB - /Users/kasperissim0/Library/Application Support/BraveSoftware/Brave-Browser/Default/Service Worker/CacheStorage
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 192.07MB / 200.00MB - /Users/kasperissim0/Library/Caches/BraveSoftware/Brave-Browser/Default/Cache/Cache_Data
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 86.55MB / 200.00MB - /Users/kasperissim0/Library/Containers/com.apple.mediaanalysisd/Data/Library/Caches
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 136.42MB / 200.00MB - /Users/kasperissim0/Library/Caches/BraveSoftware/Brave-Browser/Default/Code Cache
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 125.62MB / 200.00MB - /Users/kasperissim0/Library/Application Support/Code/Crashpad/completed
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 0B / 150.00MB - /Users/kasperissim0/Library/Group Containers/6N38VWS5BX.ru.keepcoder.Telegram/appstore
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 0B / 150.00MB - /Users/kasperissim0/Library/Application Support/Code/CachedExtensionVSIXs
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 5.21MB / 150.00MB - /Users/kasperissim0/Library/HTTPStorages
Sat Jan  3 19:56:33 CET 2026: │  ✓ OK: 127.74MB / 150.00MB - /Users/kasperissim0/Library/Biome
